Name,Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
A1,Male,18,152,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2067,Loose Weight,80,21.64,1392.87,Boy,17.8783,Normal,1671,2131,LOW CARB DIET (25:35:40)
A2,Male,18,152,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1706,Maintain Weight,78,23.37,1447.87,Boy,20.4926,Normal,1991,2215,BALANCE DIET (55:25:20)
A3,Male,18,152,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1910,Gain Muscle,65,25.10,1502.87,Boy,23.1069,Overweight,2329,2299,BALANCE DIET (55:25:20)
A4,Male,18,152,62,3. Vigorously active (Agricultural worker (non mechanized) or person swimming two hours daily),4. Very active (hard exercise/sports 6-7 days a week),2553,Loose Weight,82,26.84,1557.87,Boy,25.7211,Overweight,2687,3505,KETOGENIC DIET (5:35:60)
A5,Male,18,152,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1826,Maintain Weight,75,28.57,1612.87,Boy,28.3354,Overweight,1935,2468,BALANCE DIET (55:25:20)
A6,Male,18,152,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2271,Gain Muscle,63,30.30,1667.87,Boy,30.9497,Obese,2293,2552,HIGH CARB DIET(60:20:20)
A7,Male,18,152,74,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2590,Loose Weight,71,32.03,1722.87,Boy,33.5639,Obese,2670,2636,LOW CARB DIET (25:35:40)
A8,Male,18,152,78,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2821,Maintain Weight,64,33.76,1777.87,Boy,36.1782,Obese,3067,2720,BALANCE DIET (55:25:20)
A9,Male,18,152,82,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3001,Gain Muscle,76,35.49,1832.87,Boy,38.7925,Obese,2199,2804,ZONE DIET (40:30:30)
A10,Male,18,152,86,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2397,Loose Weight,83,37.22,1887.87,Boy,41.4067,Obese,2596,2888,KETOGENIC DIET (5:35:60)
A11,Male,18,152,90,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2891,Maintain Weight,92,38.95,1942.87,Boy,44.0210,Obese,3011,2973,BALANCE DIET (55:25:20)
A12,Male,18,152,94,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),4411,Gain Muscle,77,40.69,1997.87,Boy,46.6352,Obese,3446,3057,ZONE DIET (40:30:30)
A13,Male,18,152,98,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2921,Loose Weight,66,42.42,2052.87,Boy,49.2495,Obese,2463,3141,LOW CARB DIET (25:35:40)
A14,Male,18,152,102,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3548,Maintain Weight,70,44.15,2107.87,Boy,51.8638,Obese,2898,3225,BALANCE DIET (55:25:20)
A15,Male,18,158,50,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1897,Gain Muscle,64,20.03,1422.88,Boy,15.4436,Normal,2205,2177,ZONE DIET (40:30:30)
A16,Male,18,158,54,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),1887,Loose Weight,93,21.63,1477.88,Boy,17.8630,Normal,2549,2261,LOW CARB DIET (25:35:40)
A17,Male,18,158,58,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1876,Maintain Weight,60,23.23,1532.88,Boy,20.2825,Normal,1839,2345,BALANCE DIET (55:25:20)
A18,Male,18,158,62,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2016,Gain Muscle,80,24.84,1587.88,Boy,22.7020,Normal,2183,2429,HIGH CARB DIET(60:20:20)
A19,Male,18,158,66,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2368,Loose Weight,93,26.44,1642.88,Boy,25.1215,Overweight,2546,2514,KETOGENIC DIET (5:35:60)
A20,Male,18,158,70,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3105,Maintain Weight,67,28.04,1697.88,Boy,27.5410,Overweight,2929,2598,BALANCE DIET (55:25:20)
