Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
0,18,152,50,0,0,2067,0,80,21.64,1392.87,0,17.8783,1,1671,2131,0
0,18,152,54,0,1,1706,1,78,23.37,1447.87,0,20.4926,1,1991,2215,1
0,18,152,58,0,2,1910,2,65,25.1,1502.87,0,23.1069,2,2329,2299,1
0,18,152,62,2,3,2553,0,82,26.84,1557.87,0,25.7211,2,2687,3505,3
0,18,152,66,0,0,1826,1,75,28.57,1612.87,0,28.3354,2,1935,2468,1
0,18,152,70,0,1,2271,2,63,30.3,1667.87,0,30.9497,3,2293,2552,4
0,18,152,74,0,2,2590,0,71,32.03,1722.87,0,33.5639,3,2670,2636,0
0,18,152,78,0,3,2821,1,64,33.76,1777.87,0,36.1782,3,3067,2720,1
0,18,152,82,0,0,3001,2,76,35.49,1832.87,0,38.7925,3,2199,2804,2
0,18,152,86,0,1,2397,0,83,37.22,1887.87,0,41.4067,3,2596,2888,3
0,18,152,90,0,2,2891,1,92,38.95,1942.87,0,44.021,3,3011,2973,1
0,18,152,94,0,3,4411,2,77,40.69,1997.87,0,46.6352,3,3446,3057,2
0,18,152,98,0,0,2921,0,66,42.42,2052.87,0,49.2495,3,2463,3141,0
0,18,152,102,0,1,3548,1,70,44.15,2107.87,0,51.8638,3,2898,3225,1
0,18,158,50,0,2,1897,2,64,20.03,1422.88,0,15.4436,1,2205,2177,2
0,18,158,54,0,3,1887,0,93,21.63,1477.88,0,17.863,1,2549,2261,0
0,18,158,58,0,0,1876,1,60,23.23,1532.88,0,20.2825,1,1839,2345,1
0,18,158,62,0,1,2016,2,80,24.84,1587.88,0,22.702,1,2183,2429,4
0,18,158,66,0,2,2368,0,93,26.44,1642.88,0,25.1215,2,2546,2514,3
0,18,158,70,0,3,3105,1,67,28.04,1697.88,0,27.541,2,2929,2598,1
0,18,158,74,0,0,3433,2,64,29.64,1752.88,0,29.9605,2,2103,2682,2
0,18,158,78,0,1,2158,0,77,31.24,1807.88,0,32.3799,3,2486,2766,0
0,18,158,82,0,2,2628,1,70,32.85,1862.88,0,34.7994,3,2887,2850,1
0,18,158,86,0,3,2680,2,73,34.45,1917.88,0,37.2189,3,3308,2934,4
0,18,158,90,0,0,3079,0,93,36.05,1972.88,0,39.6384,3,2367,3019,3
0,18,158,94,0,1,2513,1,94,37.65,2027.88,0,42.0579,3,2788,3103,1
0,18,158,98,0,2,4068,2,85,39.26,2082.88,0,44.4774,3,3228,3187,2
0,18,158,102,0,3,3762,0,91,40.86,2137.88,0,46.8968,3,3688,3271,3
0,18,164,50,0,0,2245,1,76,18.59,1452.9,0,13.2711,1,1743,2223,1
0,18,164,54,0,1,1846,2,84,20.08,1507.9,0,15.5168,1,2073,2307,4
0,18,164,58,0,2,2083,0,87,21.56,1562.9,0,17.7625,1,2422,2391,0
0,18,164,62,0,3,2651,1,94,23.05,1617.9,0,20.0081,1,2791,2475,1
0,18,164,66,0,3,3405,2,68,24.54,1672.9,0,22.2538,1,2886,2560,2
0,18,164,70,0,0,2274,0,89,26.03,1727.9,0,24.4995,2,2073,2644,3
0,18,164,74,0,1,3546,1,82,27.51,1782.9,0,26.7452,2,2451,2728,2
0,18,164,78,0,2,2023,2,90,29.0,1837.9,0,28.9909,2,2849,2812,4
0,18,164,82,0,3,3592,0,74,30.49,1892.9,0,31.2366,3,3265,2896,0
0,18,164,86,0,0,3278,1,74,31.98,1947.9,0,33.4823,3,2337,2980,1
0,18,164,90,0,1,2697,2,94,33.46,2002.9,0,35.728,3,2754,3064,4
0,18,164,94,0,2,2743,0,71,34.95,2057.9,0,37.9736,3,3190,3149,0
0,18,164,98,0,3,2916,1,68,36.44,2112.9,0,40.2193,3,3645,3233,1
0,18,164,102,0,0,3018,2,77,37.92,2167.9,0,42.465,3,2601,3317,2
0,18,170,50,0,1,2950,0,90,17.3,1482.92,0,11.3246,0,2039,2269,1
0,18,170,54,0,2,2813,1,94,18.69,1537.92,0,13.4145,1,2384,2353,1
